Downloaded from wid.world on 31-08-2026 at 13:49:10
Country ;Variable ;Percentile ;Year ;Value ;Data quality 
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1800;3376.3147;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1801;3364.6706;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1802;3394.532;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1803;3406.6456;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1804;3416.8811;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1805;3259.4982;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1806;3284.1949;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1807;3287.8572;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1808;3394.0625;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1809;3470.4064;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1810;3628.2588;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1811;3586.4716;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1812;3481.7687;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1813;3331.6164;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1814;3530.0353;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1815;3623.6575;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1816;3456.3208;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1817;3299.5013;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1818;3529.2841;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1819;3699.0624;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1820;3856.5392;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1821;3893.4434;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1822;3865.1783;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1823;3833.4388;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1824;4034.4871;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1825;4045.3799;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1826;4052.6105;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1827;3968.2848;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1828;3866.0235;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1829;3909.4071;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1830;3863.1125;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1831;3833.8144;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1832;3917.295;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1833;4047.258;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1834;4098.06;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1835;4101.0649;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1836;4106.5114;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1837;4098.6234;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1838;3998.3341;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1839;4003.8744;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1840;4088.4818;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1841;4214.6887;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1842;4142.9461;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1843;3972.6983;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1844;4042.0933;5.0
Germany ;"agdpro_pall_z_DE
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2025)
";pall;1845;4077.7768;5.0
