"Jahr";"1951-1970";"1971-1990";"1991-2019";"Durchschnitt 1950-1960";"Durchschnitt 1960-1970";"Durchschnitt 1970-1980";"Durchschnitt 1980-1991";"Durchschnitt 1991-2000";"Durchschnitt 2000-2010";"Durchschnitt 2010-2020";"Annotations 1"
1951;9,7;;;8,2;;;;;;;
1952;9,3;;;8,2;;;;;;;
1953;8,9;;;8,2;;;;;;;
1954;7,8;;;8,2;;;;;;;"1950–1960<br>Durchschnitt<br><b>8,2</b>"
1955;12,1;;;8,2;;;;;;;
1956;7,7;;;8,2;;;;;;;
1957;6,1;;;8,2;;;;;;;
1958;4,5;;;8,2;;;;;;;
1959;7,9;;;8,2;;;;;;;
1960;8,6;;;8,2;;;;;;;
1961;4,6;;;;4,4;;;;;;
1962;4,7;;;;4,4;;;;;;
1963;2,8;;;;4,4;;;;;;
1964;6,7;;;;4,4;;;;;;
1965;5,4;;;;4,4;;;;;;
1966;2,8;;;;4,4;;;;;;"1960–1970<br>Durchschnitt<br><b>4,4</b>"
1967;-0,3;;;;4,4;;;;;;
1968;5,5;;;;4,4;;;;;;
1969;7,5;;;;4,4;;;;;;
1970;5;;;;4,4;;;;;;
1971;;3,1;;;;2,9;;;;;
1972;;4,3;;;;2,9;;;;;
1973;;4,8;;;;2,9;;;;;
1974;;0,9;;;;2,9;;;;;
1975;;-0,9;;;;2,9;;;;;"1970–1980<br>Durchschnitt<br><b>2,9</b>"
1976;;4,9;;;;2,9;;;;;
1977;;3,3;;;;2,9;;;;;
1978;;3;;;;2,9;;;;;
1979;;4,2;;;;2,9;;;;;
1980;;1,4;;;;2,9;;;;;
1981;;0,5;;;;;2,6;;;;
1982;;-0,4;;;;;2,6;;;;
1983;;1,6;;;;;2,6;;;;
1984;;2,8;;;;;2,6;;;;
1985;;2,3;;;;;2,6;;;;
1986;;2,3;;;;;2,6;;;;"1980–1991<br>Durchschnitt<br><b>2,6</b>"
1987;;1,4;;;;;2,6;;;;
1988;;3,7;;;;;2,6;;;;
1989;;3,9;;;;;2,6;;;;
1990;;5,3;;;;;2,6;;;;
1991;;5,1;;;;;2,6;;;;
1992;;;2;;;;;1,7;;;
1993;;;-1;;;;;1,7;;;
1994;;;2,6;;;;;1,7;;;
1995;;;1,5;;;;;1,7;;;
1996;;;1;;;;;1,7;;;"1991–2000<br>Durchschnitt<br><b>1,7</b>"
1997;;;1,9;;;;;1,7;;;
1998;;;2,1;;;;;1,7;;;
1999;;;2,1;;;;;1,7;;;
2000;;;2,9;;;;;1,7;;;
2001;;;1,6;;;;;;0,9;;
2002;;;-0,2;;;;;;0,9;;
2003;;;-0,5;;;;;;0,9;;
2004;;;1,2;;;;;;0,9;;
2005;;;0,9;;;;;;0,9;;"2000–2010<br>Durchschnitt<br><b>0,9</b>"
2006;;;3,9;;;;;;0,9;;
2007;;;2,9;;;;;;0,9;;
2008;;;0,9;;;;;;0,9;;
2009;;;-5,6;;;;;;0,9;;
2010;;;4,1;;;;;;0,9;;
2011;;;3,8;;;;;;;1,2;
2012;;;0,5;;;;;;;1,2;
2013;;;0,5;;;;;;;1,2;
2014;;;2,2;;;;;;;1,2;
2015;;;1,8;;;;;;;1,2;
2016;;;2,3;;;;;;;1,2;"2010–2020<br>Durchschnitt<br><b>1,1</b>"
2017;;;2,9;;;;;;;1,2;
2018;;;1,2;;;;;;;1,2;
2019;;;1,1;;;;;;;1,2;
2020;;;-4;;;;;;;1,2;
2021;;;4;;;;;;;;
2022;;;1,9;;;;;;;;
2023;;;-1;;;;;;;;
2024;;;0;;;;;;;;
2025;;;0,2;;;;;;;;
